ACC	ncldv	caudo	ratio	class
PF02498.17	77	126	1.395722189	
PF07453.13	17	23	1.3797309437	
PF13589.6	62	92	1.367656083	
PF07484.12	73	109	1.3580045485	
PF13455.6	29	38	1.3536591441	
PF05731.11	33	41	1.329130244	
PF00156.27	52	67	1.3213065962	
PF00078.27	15	17	1.3172382542	
PF00149.28	326	749	1.3102470459	
PF00625.21	13	14	1.3028595942	
PF07691.12	14	15	1.300113574	
PF13238.6	42	47	1.2826211243	
PF13518.6	46	52	1.2814737915	
PF08443.11	12	12	1.2813072036	
PF04266.14	16	15	1.2583764043	
PF13361.6	21	20	1.2571329867	
PF01609.21	9	8	1.2519277245	
PF00574.23	210	346	1.2492657427	
PF14890.6	23	21	1.2432832321	
PF02562.16	233	392	1.2336199994	
PF13793.6	25	22	1.2312890779	
PF03104.19	46	44	1.2302006233	
PF01259.18	22	19	1.2298431173	
PF01928.21	11	9	1.228829563	
PF12705.7	263	466	1.2262107839	
PF03477.16	15	12	1.2189646818	
PF05175.14	33	28	1.2129887493	
PF01636.23	42	35	1.1983866336	
PF00805.22	66	60	1.1936945094	
PF00202.21	29	22	1.1909994381	
PF00754.25	52	44	1.1909051252	
PF05154.16	21	15	1.1869375779	
PF00709.21	46	37	1.1853366011	
PF12810.7	38	29	1.182201965	
PF16868.5	18	12	1.1762768745	
PF17963.1	11	7	1.1752257962	
PF00561.20	60	48	1.1682890061	
PF04607.17	13	8	1.166788494	
PF00150.18	10	6	1.165631169	
PF17975.1	18	11	1.1598979458	
PF14311.6	76	63	1.158805272	
PF03009.17	57	43	1.158219422	
PF07859.13	20	12	1.1543699078	
PF00082.22	39	26	1.1526282258	
PF03781.16	11	6	1.1484239129	
PF06414.12	43	28	1.1435528575	
PF00483.23	62	39	1.1156319216	
PF03288.16	36	19	1.1150592824	
PF13508.7	48	27	1.1117825993	
PF04434.17	12	5	1.109328452	
PF02739.16	201	227	1.1066053789	
PF07282.11	64	38	1.1029777287	
PF00908.17	17	7	1.1022526217	
PF04383.13	60	34	1.0994975055	
PF01555.18	245	307	1.0935275079	
PF00041.21	101	71	1.0935114684	
PF13540.6	14	5	1.0895273475	
PF04275.14	14	5	1.0895273475	
PF02347.16	9	3	1.0881384372	
PF00294.24	17	6	1.0849102266	
PF03161.13	10	3	1.0771849539	
PF00793.20	39	15	1.0694736646	
PF01936.18	14	4	1.0684687248	
PF04055.21	74	38	1.068061089	
PF13439.6	11	3	1.0680182627	
PF02810.15	17	5	1.0675678315	
PF00722.21	15	4	1.061726966	
PF03959.13	15	4	1.061726966	
PF00249.31	15	4	1.061726966	
PF05708.12	66	30	1.0596850926	
PF00415.18	29	9	1.058838427	
PF13673.7	65	29	1.0583371987	
PF13641.6	16	4	1.0556871613	
PF02585.17	22	6	1.0556308754	
PF00317.21	9	2	1.0553805798	
PF01751.22	9	2	1.0553805798	
PF01679.17	9	2	1.0553805798	
PF01374.18	9	2	1.0553805798	
PF02601.15	30	9	1.0546624314	
PF00551.19	13	3	1.0533959105	
PF00899.21	23	6	1.0510088514	
PF05406.15	10	2	1.0477028822	
PF00731.20	14	3	1.0474101022	
PF13692.6	32	9	1.0468822907	
PF01592.16	21	5	1.0465467602	
PF03235.14	80	36	1.0425792326	
PF01467.26	111	63	1.0423306773	
PF01544.18	15	3	1.0420722515	
PF13676.6	15	3	1.0420722515	
PF03275.13	34	9	1.0397524898	
PF13661.6	16	3	1.0372608664	
PF08282.12	16	3	1.0372608664	
PF08242.12	21	4	1.0325076784	
PF03120.16	28	6	1.0316443364	
PF00291.25	25	5	1.0308109903	
PF01255.19	13	2	1.0307173938	
PF01344.25	22	4	1.028828992	
PF00657.22	23	4	1.0253722673	
PF01266.24	19	3	1.0251542432	
PF07690.16	9	1	1.0226227223	
PF13426.7	9	1	1.0226227223	
PF01972.16	9	1	1.0226227223	
PF00588.19	9	1	1.0226227223	
PF08450.12	9	1	1.0226227223	
PF13391.6	15	2	1.0224175371	
PF00579.25	24	4	1.0221097592	
PF00644.20	35	7	1.019549729	
PF07681.12	35	7	1.019549729	
PF13519.6	38	8	1.0192747266	
PF18406.1	32	6	1.0192428484	
PF00464.19	16	2	1.0188345716	
PF04508.12	10	1	1.0182208105	
PF01624.20	10	1	1.0182208105	
PF04480.12	44	10	1.0174551589	
PF02666.15	33	6	1.0164416046	
PF00596.21	22	3	1.0154280503	
PF01833.24	22	3	1.0154280503	
PF01596.17	11	1	1.014414496	
PF00623.20	70	22	1.0138291108	
PF00186.19	269	287	1.0116205695	
PF09479.10	12	1	1.0110548796	
PF01725.16	12	1	1.0110548796	
PF00047.25	13	1	1.0080388771	
PF01923.18	25	3	1.0072253329	
PF02295.17	14	1	1.0052928569	
PF03435.18	14	1	1.0052928569	
PF00106.25	59	14	1.0035160169	
PF00454.27	31	4	1.0031314729	
PF02517.16	15	1	1.0027628226	
PF00413.24	15	1	1.0027628226	
PF07883.11	55	12	1.0023875832	
PF13561.6	39	6	1.0014381145	
PF04471.12	23	2	0.9997356832	
PF13365.6	59	13	0.9985190556	
PF01808.18	17	1	0.998198251	
PF13524.6	44	7	0.9973537464	
PF04519.13	60	13	0.9963102545	
PF01326.19	30	3	0.9956982879	
PF11380.8	25	2	0.9954325042	
PF12146.8	54	10	0.9937856183	
PF13599.6	26	2	0.9933992374	
PF15140.6	20	1	0.9922185133	
PF00857.20	36	4	0.9922173169	
PF00984.19	58	11	0.9905989586	
PF07722.13	37	4	0.9902058433	
PF01826.17	9	0	0.9898648649	
PF04117.12	9	0	0.9898648649	
PF18766.1	9	0	0.9898648649	
PF08276.11	9	0	0.9898648649	
PF00723.21	9	0	0.9898648649	
PF06598.11	9	0	0.9898648649	
PF07991.12	9	0	0.9898648649	
PF05212.12	9	0	0.9898648649	
PF01597.19	9	0	0.9898648649	
PF01825.21	9	0	0.9898648649	
PF12740.7	9	0	0.9898648649	
PF12707.7	9	0	0.9898648649	
PF13431.6	9	0	0.9898648649	
PF01231.18	9	0	0.9898648649	
PF13872.6	9	0	0.9898648649	
PF15514.6	9	0	0.9898648649	
PF13879.6	9	0	0.9898648649	
PF09286.11	9	0	0.9898648649	
PF01287.20	9	0	0.9898648649	
PF01363.21	9	0	0.9898648649	
PF00654.20	9	0	0.9898648649	
PF03067.15	9	0	0.9898648649	
PF09335.11	9	0	0.9898648649	
PF11316.8	9	0	0.9898648649	
PF10857.8	9	0	0.9898648649	
PF17421.2	9	0	0.9898648649	
PF06131.11	9	0	0.9898648649	
PF00233.19	9	0	0.9898648649	
PF13840.6	9	0	0.9898648649	
PF00102.27	9	0	0.9898648649	
PF01429.19	9	0	0.9898648649	
PF02877.14	9	0	0.9898648649	
PF07190.11	9	0	0.9898648649	
PF07992.14	33	3	0.9896397212	
PF03332.13	28	2	0.9895270911	
PF06839.12	10	0	0.9887387387	
PF05192.18	10	0	0.9887387387	
PF01400.24	10	0	0.9887387387	
PF03121.15	10	0	0.9887387387	
PF11155.8	10	0	0.9887387387	
PF13570.6	10	0	0.9887387387	
PF12330.8	10	0	0.9887387387	
PF00648.21	10	0	0.9887387387	
PF01554.18	10	0	0.9887387387	
PF03296.13	10	0	0.9887387387	
PF04549.14	10	0	0.9887387387	
PF00030.19	10	0	0.9887387387	
PF08125.13	10	0	0.9887387387	
PF07478.13	10	0	0.9887387387	
PF00034.21	10	0	0.9887387387	
PF00890.24	10	0	0.9887387387	
PF13772.6	10	0	0.9887387387	
PF00171.22	10	0	0.9887387387	
PF00617.19	10	0	0.9887387387	
PF00452.19	10	0	0.9887387387	
PF01406.19	10	0	0.9887387387	
PF07000.11	10	0	0.9887387387	
PF07686.17	10	0	0.9887387387	
PF00001.21	10	0	0.9887387387	
PF01863.17	10	0	0.9887387387	
PF01693.16	10	0	0.9887387387	
PF01443.18	10	0	0.9887387387	
PF07142.12	10	0	0.9887387387	
PF13912.6	10	0	0.9887387387	
PF04862.12	10	0	0.9887387387	
PF00749.21	11	0	0.9876126126	
PF07534.16	11	0	0.9876126126	
PF00456.21	11	0	0.9876126126	
PF12158.8	11	0	0.9876126126	
PF00569.17	11	0	0.9876126126	
PF04570.14	11	0	0.9876126126	
PF06434.13	11	0	0.9876126126	
PF00232.18	11	0	0.9876126126	
PF02140.18	11	0	0.9876126126	
PF01048.20	11	0	0.9876126126	
PF18025.1	11	0	0.9876126126	
PF00795.22	11	0	0.9876126126	
PF14599.6	11	0	0.9876126126	
PF01042.21	11	0	0.9876126126	
PF03188.16	11	0	0.9876126126	
PF00658.18	11	0	0.9876126126	
PF09834.9	11	0	0.9876126126	
PF02826.19	11	0	0.9876126126	
PF17784.1	11	0	0.9876126126	
PF17836.1	11	0	0.9876126126	
PF10488.9	11	0	0.9876126126	
PF00094.25	11	0	0.9876126126	
PF08613.11	11	0	0.9876126126	
PF00586.24	11	0	0.9876126126	
PF05162.13	11	0	0.9876126126	
PF05572.13	11	0	0.9876126126	
PF00463.21	11	0	0.9876126126	
PF10021.9	23	1	0.9869173911	
PF16403.5	23	1	0.9869173911	
PF08975.10	12	0	0.9864864865	
PF13507.6	12	0	0.9864864865	
PF00450.22	12	0	0.9864864865	
PF02958.20	12	0	0.9864864865	
PF04887.12	12	0	0.9864864865	
PF01403.19	12	0	0.9864864865	
PF13087.6	12	0	0.9864864865	
PF04342.12	12	0	0.9864864865	
PF02825.20	12	0	0.9864864865	
PF02800.20	12	0	0.9864864865	
PF06418.14	12	0	0.9864864865	
PF05148.15	12	0	0.9864864865	
PF08837.11	12	0	0.9864864865	
PF01202.22	12	0	0.9864864865	
PF00046.29	12	0	0.9864864865	
PF13930.6	30	2	0.9858709307	
PF14279.6	165	96	0.9857212428	
PF02089.15	13	0	0.9853603604	
PF02822.14	13	0	0.9853603604	
PF01822.19	13	0	0.9853603604	
PF10861.8	13	0	0.9853603604	
PF11463.8	13	0	0.9853603604	
PF01437.25	13	0	0.9853603604	
PF00916.20	13	0	0.9853603604	
PF00957.21	13	0	0.9853603604	
PF01212.21	13	0	0.9853603604	
PF02450.15	13	0	0.9853603604	
PF11051.8	13	0	0.9853603604	
PF01408.22	13	0	0.9853603604	
PF14938.6	13	0	0.9853603604	
PF00113.22	13	0	0.9853603604	
PF18761.1	13	0	0.9853603604	
PF17164.4	13	0	0.9853603604	
PF00135.28	13	0	0.9853603604	
PF10523.9	13	0	0.9853603604	
PF06293.14	13	0	0.9853603604	
PF13738.6	13	0	0.9853603604	
PF00750.19	13	0	0.9853603604	
PF00884.23	13	0	0.9853603604	
PF05958.11	13	0	0.9853603604	
PF14388.6	13	0	0.9853603604	
PF07140.11	13	0	0.9853603604	
PF00704.28	53	8	0.9848165556	
PF01127.22	14	0	0.9842342342	
PF07786.12	14	0	0.9842342342	
PF06044.12	14	0	0.9842342342	
PF00808.23	14	0	0.9842342342	
PF13499.6	14	0	0.9842342342	
PF00710.20	14	0	0.9842342342	
PF03269.14	14	0	0.9842342342	
PF01979.20	14	0	0.9842342342	
PF00924.18	14	0	0.9842342342	
PF14497.6	14	0	0.9842342342	
PF13181.6	14	0	0.9842342342	
PF05886.11	14	0	0.9842342342	
PF00062.20	14	0	0.9842342342	
PF03142.15	14	0	0.9842342342	
PF13091.6	14	0	0.9842342342	
PF12697.7	14	0	0.9842342342	
PF10283.9	14	0	0.9842342342	
PF00206.20	31	2	0.9841107815	
PF13884.6	317	366	0.9834103917	
PF02389.15	15	0	0.9831081081	
PF10755.9	15	0	0.9831081081	
PF12689.7	15	0	0.9831081081	
PF11019.8	15	0	0.9831081081	
PF10558.9	15	0	0.9831081081	
PF02963.16	15	0	0.9831081081	
PF11952.8	15	0	0.9831081081	
PF02771.16	15	0	0.9831081081	
PF13360.6	15	0	0.9831081081	
PF02250.15	15	0	0.9831081081	
PF01053.20	15	0	0.9831081081	
PF03931.15	15	0	0.9831081081	
PF02274.17	26	1	0.9820599791	
PF00036.32	16	0	0.981981982	
PF03357.21	16	0	0.981981982	
PF05495.12	16	0	0.981981982	
PF01747.17	16	0	0.981981982	
PF00134.23	16	0	0.981981982	
PF01987.17	16	0	0.981981982	
PF02655.14	16	0	0.981981982	
PF14634.6	16	0	0.981981982	
PF00264.20	16	0	0.981981982	
PF00743.19	16	0	0.981981982	
PF00365.20	16	0	0.981981982	
PF01293.20	16	0	0.981981982	
PF01871.17	16	0	0.981981982	
PF06041.11	16	0	0.981981982	
PF04109.16	16	0	0.981981982	
PF09562.10	16	0	0.981981982	
PF03006.20	16	0	0.981981982	
PF00132.24	67	13	0.9817535693	
PF05048.13	17	0	0.9808558559	
PF13085.6	17	0	0.9808558559	
PF06227.12	17	0	0.9808558559	
PF02976.15	17	0	0.9808558559	
PF11969.8	17	0	0.9808558559	
PF02099.17	17	0	0.9808558559	
PF16953.5	17	0	0.9808558559	
PF00084.20	17	0	0.9808558559	
PF04749.17	17	0	0.9808558559	
PF00334.19	17	0	0.9808558559	
PF10504.9	17	0	0.9808558559	
PF04983.18	17	0	0.9808558559	
PF02346.16	33	2	0.9807057601	
PF09372.10	18	0	0.9797297297	
PF06101.11	18	0	0.9797297297	
PF02882.19	18	0	0.9797297297	
PF09334.11	18	0	0.9797297297	
PF01904.18	18	0	0.9797297297	
PF04326.14	18	0	0.9797297297	
PF02919.15	18	0	0.9797297297	
PF13520.6	18	0	0.9797297297	
PF06127.11	19	0	0.9786036036	
PF15054.6	19	0	0.9786036036	
PF08477.13	19	0	0.9786036036	
PF12299.8	19	0	0.9786036036	
PF01862.16	19	0	0.9786036036	
PF01168.20	19	0	0.9786036036	
PF06193.11	19	0	0.9786036036	
PF01432.20	19	0	0.9786036036	
PF01466.19	19	0	0.9786036036	
PF00020.18	19	0	0.9786036036	
PF08789.10	19	0	0.9786036036	
PF14305.6	20	0	0.9774774775	
PF11099.8	20	0	0.9774774775	
PF12894.7	20	0	0.9774774775	
PF14307.6	20	0	0.9774774775	
PF09553.10	20	0	0.9774774775	
PF01071.19	20	0	0.9774774775	
PF01988.19	20	0	0.9774774775	
PF01906.17	20	0	0.9774774775	
PF02275.18	20	0	0.9774774775	
PF06739.11	20	0	0.9774774775	
PF07498.12	113	40	0.9771090635	
PF05711.11	74	15	0.9764276228	
PF05771.11	21	0	0.9763513514	
PF11350.8	21	0	0.9763513514	
PF17123.5	21	0	0.9763513514	
PF02178.19	21	0	0.9763513514	
PF01926.23	21	0	0.9763513514	
PF13460.6	21	0	0.9763513514	
PF07065.14	21	0	0.9763513514	
PF03287.14	21	0	0.9763513514	
PF01073.19	21	0	0.9763513514	
PF07661.13	21	0	0.9763513514	
PF05658.14	36	2	0.9758383882	
PF03747.14	58	8	0.9753496112	
PF03102.14	22	0	0.9752252252	
PF00013.29	22	0	0.9752252252	
PF00215.24	22	0	0.9752252252	
PF03336.13	22	0	0.9752252252	
PF01565.23	22	0	0.9752252252	
PF14811.6	22	0	0.9752252252	
PF00732.19	22	0	0.9752252252	
PF00515.28	22	0	0.9752252252	
PF05966.12	22	0	0.9752252252	
PF06144.13	31	1	0.9746004358	
PF02643.15	37	2	0.9742695883	
PF12239.8	23	0	0.9740990991	
PF13230.6	23	0	0.9740990991	
PF04948.13	23	0	0.9740990991	
PF00777.18	23	0	0.9740990991	
PF15899.5	23	0	0.9740990991	
PF02353.20	23	0	0.9740990991	
PF10250.9	24	0	0.972972973	
PF00248.21	24	0	0.972972973	
PF03215.15	24	0	0.972972973	
PF06822.12	24	0	0.972972973	
PF10528.9	24	0	0.972972973	
PF06086.12	24	0	0.972972973	
PF03982.13	24	0	0.972972973	
PF00208.21	24	0	0.972972973	
PF10152.9	24	0	0.972972973	
PF06831.14	38	2	0.9727240871	
PF00072.24	38	2	0.9727240871	
PF02709.14	38	2	0.9727240871	
PF00497.20	25	0	0.9718468468	
PF00282.19	25	0	0.9718468468	
PF15902.5	25	0	0.9718468468	
PF00316.20	25	0	0.9718468468	
PF00875.18	25	0	0.9718468468	
PF00888.22	25	0	0.9718468468	
PF12861.7	25	0	0.9718468468	
PF02675.15	105	32	0.9716068801	
PF13168.6	26	0	0.9707207207	
PF06269.12	26	0	0.9707207207	
PF05989.12	26	0	0.9707207207	
PF00162.19	26	0	0.9707207207	
PF02221.15	26	0	0.9707207207	
PF04708.12	26	0	0.9707207207	
PF07719.17	26	0	0.9707207207	
PF03265.15	27	0	0.9695945946	
PF06054.11	27	0	0.9695945946	
PF05725.12	27	0	0.9695945946	
PF14716.6	27	0	0.9695945946	
PF02230.16	27	0	0.9695945946	
PF08476.10	27	0	0.9695945946	
PF00632.25	27	0	0.9695945946	
PF08238.12	27	0	0.9695945946	
PF02348.19	27	0	0.9695945946	
PF09011.10	27	0	0.9695945946	
PF02214.22	27	0	0.9695945946	
PF01509.18	27	0	0.9695945946	
PF01149.24	35	1	0.9690090346	
PF00580.21	76	14	0.9687234939	
PF00133.22	28	0	0.9684684685	
PF04943.12	28	0	0.9684684685	
PF03051.15	28	0	0.9684684685	
PF13909.6	29	0	0.9673423423	
PF00752.17	29	0	0.9673423423	
PF07699.13	29	0	0.9673423423	
PF02729.21	29	0	0.9673423423	
PF09717.10	29	0	0.9673423423	
PF01607.24	29	0	0.9673423423	
PF12629.7	29	0	0.9673423423	
PF05153.15	29	0	0.9673423423	
PF17846.1	29	0	0.9673423423	
PF05222.15	30	0	0.9662162162	
PF05846.12	30	0	0.9662162162	
PF00059.21	30	0	0.9662162162	
PF00090.19	30	0	0.9662162162	
PF04596.12	30	0	0.9662162162	
PF06138.12	30	0	0.9662162162	
PF13516.6	31	0	0.9650900901	
PF05649.13	31	0	0.9650900901	
PF02434.16	31	0	0.9650900901	
PF13894.6	31	0	0.9650900901	
PF13445.6	31	0	0.9650900901	
PF00642.24	31	0	0.9650900901	
PF00160.21	31	0	0.9650900901	
PF12237.8	31	0	0.9650900901	
PF03464.15	31	0	0.9650900901	
PF10520.9	31	0	0.9650900901	
PF00652.22	32	0	0.963963964	
PF05854.11	32	0	0.963963964	
PF13469.6	32	0	0.963963964	
PF00485.18	32	0	0.963963964	
PF02469.22	32	0	0.963963964	
PF14787.6	32	0	0.963963964	
PF05961.11	32	0	0.963963964	
PF01694.22	39	1	0.9636405866	
PF04713.12	33	0	0.9628378378	
PF03286.14	33	0	0.9628378378	
PF05077.12	33	0	0.9628378378	
PF04835.12	33	0	0.9628378378	
PF01050.18	33	0	0.9628378378	
PF05273.13	33	0	0.9628378378	
PF09317.11	33	0	0.9628378378	
PF00397.26	33	0	0.9628378378	
PF08484.11	33	0	0.9628378378	
PF09996.9	33	0	0.9628378378	
PF05960.11	33	0	0.9628378378	
PF05323.12	33	0	0.9628378378	
PF00155.21	40	1	0.9623254729	
PF00067.22	40	1	0.9623254729	
PF04886.12	40	1	0.9623254729	
PF00501.28	34	0	0.9617117117	
PF18588.1	34	0	0.9617117117	
PF05767.12	34	0	0.9617117117	
PF04701.13	34	0	0.9617117117	
PF09504.10	34	0	0.9617117117	
PF04580.13	34	0	0.9617117117	
PF04872.13	34	0	0.9617117117	
PF04767.12	34	0	0.9617117117	
PF03876.17	34	0	0.9617117117	
PF00348.17	34	0	0.9617117117	
PF08707.11	84	16	0.9615617325	
PF00893.19	50	3	0.9613829367	
PF01420.19	41	1	0.961019578	
PF06015.12	35	0	0.9605855856	
PF13918.6	35	0	0.9605855856	
PF05941.13	35	0	0.9605855856	
PF03338.15	35	0	0.9605855856	
PF04656.12	35	0	0.9605855856	
PF03295.14	35	0	0.9605855856	
PF05864.12	35	0	0.9605855856	
PF04924.12	35	0	0.9605855856	
PF05503.12	35	0	0.9605855856	
PF00685.27	35	0	0.9605855856	
PF03337.13	35	0	0.9605855856	
PF04661.12	35	0	0.9605855856	
PF00557.24	35	0	0.9605855856	
PF11735.8	35	0	0.9605855856	
PF04787.12	35	0	0.9605855856	
PF04497.12	35	0	0.9605855856	
PF12575.8	35	0	0.9605855856	
PF05803.12	35	0	0.9605855856	
PF04690.13	35	0	0.9605855856	
PF05288.11	35	0	0.9605855856	
PF05313.12	35	0	0.9605855856	
PF03394.13	35	0	0.9605855856	
PF03213.14	35	0	0.9605855856	
PF12011.8	35	0	0.9605855856	
PF05796.12	35	0	0.9605855856	
PF03289.13	36	0	0.9594594595	
PF03395.14	36	0	0.9594594595	
PF03396.15	36	0	0.9594594595	
PF04745.12	36	0	0.9594594595	
PF14295.6	36	0	0.9594594595	
PF05768.14	36	0	0.9594594595	
PF01000.26	36	0	0.9594594595	
PF04595.13	36	0	0.9594594595	
PF12410.8	36	0	0.9594594595	
PF04498.12	36	0	0.9594594595	
PF03355.14	36	0	0.9594594595	
PF03410.13	36	0	0.9594594595	
PF03341.13	36	0	0.9594594595	
PF03293.14	36	0	0.9594594595	
PF04651.13	36	0	0.9594594595	
PF10544.9	172	89	0.9588588867	
PF01753.18	43	1	0.9584328723	
PF05320.12	37	0	0.9583333333	
PF05061.13	37	0	0.9583333333	
PF10640.9	37	0	0.9583333333	
PF12937.7	37	0	0.9583333333	
PF00883.21	37	0	0.9583333333	
PF00651.31	37	0	0.9583333333	
PF06129.12	38	0	0.9572072072	
PF08123.13	38	0	0.9572072072	
PF01633.20	38	0	0.9572072072	
PF09266.10	38	0	0.9572072072	
PF02719.15	38	0	0.9572072072	
PF00575.23	38	0	0.9572072072	
PF00035.26	44	1	0.9571509213	
PF04441.13	39	0	0.9560810811	
PF04960.15	39	0	0.9560810811	
PF04599.12	39	0	0.9560810811	
PF05718.12	39	0	0.9560810811	
PF03339.14	39	0	0.9560810811	
PF01793.16	39	0	0.9560810811	
PF04805.12	39	0	0.9560810811	
PF00350.23	39	0	0.9560810811	
PF04584.14	39	0	0.9560810811	
PF03294.14	39	0	0.9560810811	
PF03340.13	39	0	0.9560810811	
PF03356.15	39	0	0.9560810811	
PF03721.14	61	5	0.9554719389	
PF04560.20	40	0	0.954954955	
PF02698.17	40	0	0.954954955	
PF14412.6	40	0	0.954954955	
PF08469.10	40	0	0.954954955	
PF05315.11	40	0	0.954954955	
PF05794.13	41	0	0.9538288288	
PF05045.12	41	0	0.9538288288	
PF01180.21	41	0	0.9538288288	
PF01161.20	41	0	0.9538288288	
PF04321.17	71	8	0.9532642808	
PF13156.6	42	0	0.9527027027	
PF00441.24	42	0	0.9527027027	
PF01553.21	43	0	0.9515765766	
PF00079.20	43	0	0.9515765766	
PF03152.14	43	0	0.9515765766	
PF12678.7	43	0	0.9515765766	
PF03457.14	44	0	0.9504504505	
PF00023.30	44	0	0.9504504505	
PF01384.20	44	0	0.9504504505	
PF03851.14	85	13	0.9493695066	
PF05445.11	45	0	0.9493243243	
PF01436.21	45	0	0.9493243243	
PF00098.23	45	0	0.9493243243	
PF01619.18	45	0	0.9493243243	
PF03083.16	45	0	0.9493243243	
PF05995.12	45	0	0.9493243243	
PF02668.16	55	2	0.9487838164	
PF02350.19	46	0	0.9481981982	
PF13606.6	46	0	0.9481981982	
PF01873.17	46	0	0.9481981982	
PF08542.11	47	0	0.9470720721	
