ACC	ncldv	caudo	ratio
GVOG01768.trim	3.0	0.0	1
GVOG21825.trim	18.0	1.0	1
GVOG02076.trim	6.0	0.0	1
GVOG00054.trim	50.0	0.0	1
GVOG21896.trim	67.0	0.0	1
GVOG16725.trim	3.0	0.0	1
GVOG21556.trim	10.0	4.0	1
GVOG01905.trim	4.0	30.0	1
GVOG23554.trim	5.0	1.0	1
GVOG13889.trim	6.0	0.0	1
GVOG25952.trim	4.0	0.0	1
GVOG17680.trim	25.0	0.0	1
GVOG11137.trim	16.0	0.0	1
GVOG11693.trim	3.0	0.0	1
GVOG27624.trim	8.0	0.0	1
GVOG09698.trim	3.0	0.0	1
GVOG20557.trim	2.0	0.0	1
GVOG00073.trim	21.0	2.0	1
GVOG20263.trim	102.0	2.0	1
GVOG27044.trim	617.0	0.0	1
GVOG10570.trim	4.0	0.0	1
GVOG22134.trim	4.0	0.0	1
GVOG27204.trim	2.0	0.0	1
GVOG24602.trim	5.0	0.0	1
GVOG21068.trim	3.0	0.0	1
GVOG26006.trim	13.0	0.0	1
GVOG03300.trim	7.0	0.0	1
GVOG01219.trim	22.0	0.0	1
GVOG02790.trim	6.0	0.0	1
GVOG04933.trim	2.0	0.0	1
GVOG04734.trim	2.0	0.0	1
GVOG26693.trim	4.0	0.0	1
GVOG07716.trim	2.0	0.0	1
GVOG21100.trim	4.0	0.0	1
GVOG24122.trim	9.0	0.0	1
GVOG01006.trim	6.0	0.0	1
GVOG00626.trim	5.0	0.0	1
GVOG06062.trim	3.0	0.0	1
GVOG09350.trim	2.0	0.0	1
GVOG03271.trim	5.0	2.0	1
GVOG22354.trim	4.0	0.0	1
GVOG06261.trim	2.0	0.0	1
GVOG22482.trim	4.0	0.0	1
GVOG14252.trim	3.0	0.0	1
GVOG05980.trim	2.0	0.0	1
GVOG02655.trim	6.0	0.0	1
GVOG06961.trim	2.0	0.0	1
GVOG05303.trim	3.0	0.0	1
GVOG26778.trim	13.0	0.0	1
GVOG26265.trim	6.0	0.0	1
GVOG15886.trim	3.0	0.0	1
GVOG14799.trim	11.0	3.0	1
GVOG24844.trim	3.0	0.0	1
GVOG20566.trim	2.0	0.0	1
GVOG00757.trim	3.0	0.0	1
GVOG18659.trim	2.0	1.0	1
GVOG19973.trim	20.0	0.0	1
GVOG17991.trim	2.0	0.0	1
GVOG02796.trim	7.0	0.0	1
GVOG14979.trim	16.0	2.0	1
GVOG28493.trim	428.0	1.0	1
GVOG02779.trim	9.0	1.0	1
GVOG15819.trim	2.0	2.0	1
GVOG20594.trim	4.0	0.0	1
GVOG11627.trim	3.0	1.0	1
GVOG27727.trim	9.0	0.0	1
GVOG21226.trim	2.0	0.0	1
GVOG03058.trim	11.0	0.0	1
GVOG15398.trim	5.0	2.0	1
GVOG04697.trim	2.0	0.0	1
GVOG21553.trim	9.0	0.0	1
GVOG05549.trim	3.0	0.0	1
GVOG22424.trim	6.0	0.0	1
GVOG18037.trim	4.0	0.0	1
GVOG06282.trim	10.0	0.0	1
GVOG10875.trim	2.0	0.0	1
GVOG07263.trim	2.0	0.0	1
GVOG00111.trim	10.0	0.0	1
GVOG12638.trim	4.0	0.0	1
GVOG09782.trim	2.0	0.0	1
GVOG08065.trim	3.0	3.0	1
GVOG13111.trim	3.0	2.0	1
GVOG21885.trim	7.0	0.0	1
GVOG19719.trim	16.0	0.0	1
GVOG25342.trim	6.0	0.0	1
GVOG15182.trim	2.0	0.0	1
GVOG28075.trim	17.0	0.0	1
GVOG13926.trim	4.0	0.0	1
GVOG22551.trim	6.0	0.0	1
GVOG04231.trim	3.0	0.0	1
GVOG17524.trim	4.0	0.0	1
GVOG24390.trim	2.0	1.0	1
GVOG04583.trim	2.0	0.0	1
GVOG25745.trim	4.0	0.0	1
GVOG09933.trim	2.0	0.0	1
GVOG07071.trim	2.0	0.0	1
GVOG28228.trim	9.0	0.0	1
GVOG00634.trim	7.0	0.0	1
GVOG00249.trim	10.0	1.0	1
GVOG07535.trim	3.0	0.0	1
GVOG19638.trim	3.0	0.0	1
GVOG25696.trim	5.0	0.0	1
GVOG01849.trim	4.0	0.0	1
GVOG16909.trim	4.0	0.0	1
GVOG12200.trim	2.0	0.0	1
GVOG11980.trim	2.0	0.0	1
GVOG19246.trim	15.0	5.0	1
GVOG08215.trim	2.0	0.0	1
GVOG02729.trim	8.0	0.0	1
GVOG02602.trim	21.0	0.0	1
GVOG10150.trim	3.0	0.0	1
GVOG15678.trim	233.0	0.0	1
GVOG08157.trim	2.0	0.0	1
GVOG10551.trim	4.0	0.0	1
GVOG02027.trim	7.0	0.0	1
GVOG20693.trim	4.0	0.0	1
GVOG16119.trim	2.0	0.0	1
GVOG05895.trim	3.0	0.0	1
GVOG15549.trim	35.0	0.0	1
GVOG21348.trim	5.0	0.0	1
GVOG25258.trim	5.0	0.0	1
GVOG19310.trim	37.0	10.0	1
GVOG19393.trim	12.0	0.0	1
GVOG03181.trim	6.0	0.0	1
GVOG14789.trim	13.0	1.0	1
GVOG18723.trim	8.0	0.0	1
GVOG13707.trim	2.0	0.0	1
GVOG12685.trim	2.0	0.0	1
GVOG14877.trim	6.0	0.0	1
GVOG03338.trim	26.0	0.0	1
GVOG27631.trim	7.0	2.0	1
GVOG02883.trim	5.0	0.0	1
GVOG15932.trim	5.0	0.0	1
GVOG02267.trim	5.0	0.0	1
GVOG13318.trim	3.0	5.0	1
GVOG25134.trim	28.0	1.0	1
GVOG04747.trim	3.0	0.0	1
GVOG14489.trim	2.0	0.0	1
GVOG24473.trim	2.0	0.0	1
GVOG27328.trim	13.0	0.0	1
GVOG05285.trim	3.0	0.0	1
GVOG25182.trim	13.0	0.0	1
GVOG26562.trim	7.0	0.0	1
GVOG03815.trim	6.0	1.0	1
GVOG16331.trim	16.0	1.0	1
GVOG16201.trim	3.0	0.0	1
GVOG18243.trim	2.0	0.0	1
GVOG22900.trim	23.0	15.0	1
GVOG14684.trim	38.0	0.0	1
GVOG28081.trim	10.0	0.0	1
GVOG16823.trim	4.0	0.0	1
GVOG18275.trim	2.0	0.0	1
GVOG26171.trim	31.0	147.0	0.41701055790771213
GVOG18465.trim	8.0	2.0	1
GVOG01748.trim	3.0	0.0	1
GVOG19826.trim	27.0	0.0	1
GVOG10111.trim	4.0	0.0	1
GVOG04454.trim	2.0	6.0	1
GVOG04714.trim	2.0	0.0	1
GVOG06031.trim	7.0	0.0	1
GVOG10879.trim	2.0	0.0	1
GVOG13541.trim	9.0	0.0	1
GVOG07835.trim	3.0	0.0	1
GVOG27360.trim	2.0	0.0	1
GVOG03092.trim	39.0	0.0	1
GVOG18624.trim	5.0	0.0	1
GVOG12090.trim	4.0	1.0	1
GVOG14484.trim	3.0	0.0	1
GVOG24137.trim	5.0	0.0	1
GVOG19261.trim	26.0	0.0	1
GVOG07044.trim	2.0	0.0	1
GVOG22245.trim	77.0	0.0	1
GVOG15665.trim	9.0	0.0	1
GVOG24920.trim	6.0	0.0	1
GVOG28314.trim	8.0	0.0	1
GVOG20736.trim	4.0	0.0	1
GVOG19221.trim	20.0	2.0	1
GVOG17271.trim	22.0	1.0	1
GVOG19951.trim	11.0	0.0	1
GVOG12487.trim	3.0	0.0	1
GVOG18030.trim	3.0	0.0	1
GVOG24306.trim	182.0	0.0	1
GVOG19344.trim	2.0	0.0	1
GVOG27012.trim	30.0	6.0	1
GVOG23862.trim	5.0	0.0	1
GVOG26816.trim	3.0	0.0	1
GVOG21929.trim	34.0	0.0	1
GVOG07114.trim	3.0	0.0	1
GVOG01201.trim	11.0	0.0	1
GVOG21661.trim	16.0	0.0	1
GVOG00333.trim	10.0	0.0	1
GVOG08910.trim	3.0	0.0	1
GVOG22406.trim	7.0	0.0	1
GVOG21940.trim	3.0	0.0	1
GVOG24257.trim	49.0	0.0	1
GVOG07189.trim	2.0	0.0	1
GVOG26977.trim	9.0	1.0	1
GVOG03276.trim	5.0	0.0	1
GVOG01586.trim	5.0	0.0	1
GVOG01490.trim	3.0	1.0	1
GVOG17366.trim	5.0	0.0	1
GVOG14112.trim	3.0	0.0	1
GVOG15455.trim	4.0	0.0	1
GVOG15967.trim	3.0	0.0	1
GVOG04558.trim	4.0	0.0	1
GVOG18403.trim	2.0	0.0	1
GVOG18282.trim	8.0	0.0	1
GVOG03530.trim	8.0	0.0	1
GVOG16126.trim	3.0	0.0	1
GVOG21872.trim	24.0	0.0	1
GVOG01077.trim	6.0	0.0	1
GVOG17086.trim	10.0	1.0	1
GVOG10323.trim	3.0	0.0	1
GVOG15474.trim	4.0	0.0	1
GVOG02106.trim	4.0	0.0	1
GVOG02950.trim	4.0	0.0	1
GVOG04621.trim	2.0	0.0	1
GVOG19160.trim	7.0	0.0	1
GVOG08098.trim	2.0	0.0	1
GVOG14107.trim	2.0	0.0	1
GVOG24640.trim	9.0	0.0	1
GVOG15877.trim	2.0	0.0	1
GVOG07480.trim	3.0	0.0	1
GVOG20392.trim	2.0	0.0	1
GVOG04136.trim	2.0	0.0	1
GVOG06196.trim	4.0	0.0	1
GVOG17261.trim	20.0	0.0	1
GVOG11291.trim	2.0	0.0	1
GVOG15618.trim	31.0	3.0	1
GVOG15283.trim	6.0	0.0	1
GVOG17505.trim	4.0	0.0	1
GVOG16690.trim	5.0	1.0	1
GVOG03013.trim	6.0	0.0	1
GVOG03474.trim	40.0	0.0	1
GVOG07766.trim	3.0	0.0	1
GVOG09372.trim	2.0	1.0	1
GVOG05004.trim	5.0	1.0	1
GVOG20193.trim	32.0	1.0	1
GVOG17298.trim	5.0	0.0	1
GVOG16420.trim	2.0	1.0	1
GVOG17883.trim	9.0	2.0	1
GVOG00628.trim	5.0	1.0	1
GVOG05763.trim	2.0	0.0	1
GVOG18567.trim	3.0	0.0	1
GVOG03043.trim	16.0	0.0	1
GVOG16029.trim	3.0	0.0	1
GVOG03812.trim	6.0	0.0	1
GVOG28182.trim	2.0	0.0	1
GVOG15370.trim	79.0	21.0	1
GVOG07706.trim	2.0	0.0	1
GVOG28350.trim	3.0	0.0	1
GVOG01307.trim	4.0	0.0	1
GVOG19517.trim	8.0	0.0	1
GVOG15042.trim	6.0	0.0	1
GVOG13209.trim	2.0	0.0	1
GVOG04752.trim	2.0	0.0	1
GVOG16512.trim	9.0	0.0	1
GVOG28357.trim	13.0	0.0	1
GVOG27597.trim	10.0	1.0	1
GVOG02363.trim	7.0	0.0	1
GVOG18765.trim	15.0	0.0	1
GVOG23638.trim	3.0	0.0	1
GVOG02372.trim	40.0	0.0	1
GVOG26299.trim	9.0	0.0	1
GVOG27531.trim	19.0	0.0	1
GVOG04478.trim	2.0	0.0	1
GVOG20802.trim	6.0	0.0	1
GVOG22450.trim	16.0	0.0	1
GVOG16245.trim	3.0	0.0	1
GVOG03198.trim	37.0	0.0	1
GVOG15460.trim	16.0	0.0	1
GVOG28625.trim	4.0	0.0	1
GVOG12899.trim	3.0	0.0	1
GVOG06658.trim	2.0	0.0	1
GVOG19591.trim	6.0	78.0	0.20692497938994228
GVOG26908.trim	7.0	1.0	1
GVOG09245.trim	2.0	0.0	1
GVOG24013.trim	12.0	6.0	1
GVOG21184.trim	16.0	0.0	1
GVOG23513.trim	5.0	0.0	1
GVOG01672.trim	7.0	4.0	1
GVOG12708.trim	2.0	0.0	1
GVOG15159.trim	3.0	0.0	1
GVOG02069.trim	4.0	0.0	1
GVOG00062.trim	69.0	0.0	1
GVOG10492.trim	3.0	0.0	1
GVOG04519.trim	2.0	0.0	1
GVOG14236.trim	5.0	8.0	1
GVOG17756.trim	7.0	0.0	1
GVOG10786.trim	6.0	0.0	1
GVOG12890.trim	2.0	0.0	1
GVOG26077.trim	12.0	0.0	1
GVOG01025.trim	5.0	0.0	1
GVOG04919.trim	2.0	0.0	1
GVOG03670.trim	2.0	0.0	1
GVOG23876.trim	4.0	1.0	1
GVOG12967.trim	3.0	0.0	1
GVOG03461.trim	10.0	0.0	1
GVOG16893.trim	3.0	0.0	1
GVOG06794.trim	2.0	0.0	1
GVOG25999.trim	4.0	0.0	1
GVOG21220.trim	4.0	0.0	1
GVOG04070.trim	2.0	0.0	1
GVOG10905.trim	2.0	0.0	1
GVOG06125.trim	2.0	0.0	1
GVOG26663.trim	17.0	22.0	1
GVOG25620.trim	2.0	2.0	1
GVOG14586.trim	3.0	0.0	1
GVOG26697.trim	3.0	0.0	1
GVOG24339.trim	37.0	0.0	1
GVOG04758.trim	4.0	0.0	1
GVOG16307.trim	2.0	0.0	1
GVOG22911.trim	13.0	0.0	1
GVOG01300.trim	4.0	0.0	1
GVOG10206.trim	2.0	0.0	1
GVOG26548.trim	2.0	0.0	1
GVOG15204.trim	6.0	0.0	1
GVOG14269.trim	2.0	0.0	1
GVOG17715.trim	6.0	0.0	1
GVOG16124.trim	4.0	0.0	1
GVOG21802.trim	8.0	1.0	1
GVOG16251.trim	2.0	0.0	1
GVOG14189.trim	5.0	0.0	1
GVOG04981.trim	2.0	0.0	1
GVOG24021.trim	3.0	0.0	1
GVOG02725.trim	6.0	0.0	1
GVOG23048.trim	4.0	0.0	1
GVOG12233.trim	6.0	0.0	1
GVOG20100.trim	3.0	0.0	1
GVOG20099.trim	2.0	0.0	1
GVOG10962.trim	6.0	0.0	1
GVOG12611.trim	4.0	0.0	1
GVOG13761.trim	3.0	0.0	1
GVOG16504.trim	4.0	0.0	1
GVOG18626.trim	3.0	0.0	1
GVOG10390.trim	4.0	0.0	1
GVOG11834.trim	2.0	0.0	1
GVOG11978.trim	3.0	0.0	1
GVOG10634.trim	6.0	0.0	1
GVOG13562.trim	2.0	0.0	1
GVOG11450.trim	3.0	0.0	1
GVOG24744.trim	19.0	10.0	1
GVOG25607.trim	287.0	17.0	1
GVOG16031.trim	4.0	0.0	1
GVOG18698.trim	2.0	0.0	1
GVOG24343.trim	2.0	0.0	1
GVOG18226.trim	2.0	0.0	1
GVOG28272.trim	8.0	0.0	1
GVOG03936.trim	7.0	0.0	1
GVOG26760.trim	12.0	1.0	1
GVOG05370.trim	3.0	0.0	1
GVOG21745.trim	10.0	0.0	1
GVOG18669.trim	2.0	0.0	1
GVOG08036.trim	2.0	0.0	1
GVOG05333.trim	3.0	0.0	1
GVOG24647.trim	4.0	0.0	1
GVOG21906.trim	9.0	0.0	1
GVOG12732.trim	2.0	0.0	1
GVOG14723.trim	19.0	0.0	1
GVOG27061.trim	2.0	0.0	1
GVOG12690.trim	4.0	59.0	1
GVOG12218.trim	4.0	0.0	1
GVOG21539.trim	5.0	0.0	1
GVOG04658.trim	2.0	0.0	1
GVOG22455.trim	4.0	0.0	1
GVOG27742.trim	36.0	0.0	1
GVOG08327.trim	2.0	0.0	1
GVOG09871.trim	3.0	0.0	1
GVOG10483.trim	7.0	0.0	1
GVOG25133.trim	46.0	0.0	1
GVOG27137.trim	9.0	0.0	1
GVOG00204.trim	21.0	1.0	1
GVOG11160.trim	6.0	0.0	1
GVOG05220.trim	3.0	0.0	1
GVOG19899.trim	20.0	0.0	1
GVOG11124.trim	3.0	0.0	1
GVOG07818.trim	2.0	0.0	1
GVOG00242.trim	28.0	0.0	1
GVOG14339.trim	4.0	0.0	1
GVOG01186.trim	56.0	0.0	1
GVOG17591.trim	6.0	3.0	1
GVOG23131.trim	27.0	0.0	1
GVOG20106.trim	4.0	0.0	1
GVOG00769.trim	30.0	0.0	1
GVOG12908.trim	2.0	0.0	1
GVOG19977.trim	25.0	22.0	1
GVOG04883.trim	4.0	0.0	1
GVOG19750.trim	6.0	0.0	1
GVOG23822.trim	18.0	0.0	1
GVOG01417.trim	4.0	0.0	1
GVOG27687.trim	199.0	0.0	1
GVOG08726.trim	3.0	0.0	1
GVOG09224.trim	4.0	0.0	1
GVOG01605.trim	4.0	0.0	1
GVOG02746.trim	5.0	7.0	1
GVOG16264.trim	6.0	0.0	1
GVOG06485.trim	2.0	0.0	1
GVOG27919.trim	32.0	0.0	1
GVOG08488.trim	2.0	0.0	1
GVOG01832.trim	8.0	0.0	1
GVOG15410.trim	52.0	0.0	1
GVOG00704.trim	11.0	0.0	1
GVOG08549.trim	3.0	0.0	1
GVOG02143.trim	7.0	0.0	1
GVOG23206.trim	11.0	0.0	1
GVOG21098.trim	18.0	0.0	1
GVOG17627.trim	29.0	2.0	1
GVOG22174.trim	2.0	0.0	1
GVOG07203.trim	2.0	0.0	1
GVOG20259.trim	12.0	0.0	1
GVOG25454.trim	3.0	0.0	1
GVOG06745.trim	2.0	0.0	1
GVOG17780.trim	27.0	0.0	1
GVOG14555.trim	2.0	0.0	1
GVOG07662.trim	6.0	0.0	1
GVOG21776.trim	30.0	0.0	1
GVOG20341.trim	17.0	0.0	1
GVOG04468.trim	3.0	0.0	1
GVOG17521.trim	5.0	0.0	1
GVOG22613.trim	27.0	0.0	1
GVOG25167.trim	22.0	2.0	1
GVOG14759.trim	5.0	2.0	1
GVOG01971.trim	3.0	0.0	1
GVOG22413.trim	9.0	0.0	1
GVOG19795.trim	2.0	0.0	1
GVOG21771.trim	6.0	0.0	1
GVOG08597.trim	2.0	0.0	1
GVOG23516.trim	2.0	0.0	1
GVOG19069.trim	4.0	0.0	1
GVOG20660.trim	2.0	0.0	1
GVOG22458.trim	5.0	0.0	1
GVOG15982.trim	3.0	0.0	1
GVOG20658.trim	3.0	0.0	1
GVOG26844.trim	53.0	0.0	1
GVOG18778.trim	12.0	0.0	1
GVOG08052.trim	4.0	0.0	1
GVOG22283.trim	4.0	0.0	1
GVOG06179.trim	2.0	0.0	1
GVOG08151.trim	3.0	0.0	1
GVOG19294.trim	21.0	0.0	1
GVOG09620.trim	2.0	0.0	1
GVOG05581.trim	2.0	0.0	1
GVOG06083.trim	3.0	0.0	1
GVOG23799.trim	57.0	0.0	1
GVOG22022.trim	4.0	0.0	1
GVOG16381.trim	2.0	0.0	1
GVOG19584.trim	4.0	0.0	1
GVOG11261.trim	2.0	0.0	1
GVOG06329.trim	3.0	0.0	1
GVOG25306.trim	3.0	14.0	1
GVOG14391.trim	2.0	0.0	1
GVOG12008.trim	6.0	0.0	1
GVOG04387.trim	2.0	0.0	1
GVOG24236.trim	17.0	0.0	1
GVOG15788.trim	2.0	0.0	1
GVOG00477.trim	10.0	0.0	1
GVOG16471.trim	2.0	0.0	1
GVOG11662.trim	2.0	0.0	1
GVOG10518.trim	3.0	0.0	1
GVOG17446.trim	3.0	0.0	1
GVOG13638.trim	2.0	0.0	1
GVOG01977.trim	4.0	0.0	1
GVOG28146.trim	9.0	0.0	1
GVOG24426.trim	9.0	0.0	1
GVOG23071.trim	4.0	0.0	1
GVOG15054.trim	3.0	5.0	1
GVOG22972.trim	5.0	0.0	1
GVOG07887.trim	2.0	0.0	1
GVOG18544.trim	4.0	0.0	1
GVOG23325.trim	2.0	0.0	1
GVOG16861.trim	7.0	0.0	1
GVOG15266.trim	10.0	0.0	1
GVOG08360.trim	2.0	0.0	1
GVOG22589.trim	46.0	0.0	1
GVOG16287.trim	29.0	5.0	1
GVOG17884.trim	9.0	0.0	1
GVOG17486.trim	5.0	0.0	1
GVOG26530.trim	2.0	0.0	1
GVOG19275.trim	8.0	1.0	1
GVOG21909.trim	17.0	0.0	1
GVOG06168.trim	5.0	0.0	1
GVOG17824.trim	41.0	0.0	1
GVOG16154.trim	8.0	1.0	1
GVOG00654.trim	4.0	0.0	1
GVOG22698.trim	3.0	0.0	1
GVOG13730.trim	7.0	2.0	1
GVOG22540.trim	18.0	1.0	1
GVOG01093.trim	5.0	0.0	1
